,AirTemp,DewPoint,RainPrecip,SnowPrecip,SnowPrecipAccumulated,WindSpeed,AirPressure,OctalCloudCoverage,PrecipAmount,station_id,road_cond,surf_temp,snow_amount,sub_temp,air_temp,dew_point,water_amount,snow_sum,forecast_length,stn_surf_temp,stn_dew_point,radiation,shade,surf_temp_sqerror,Date Time
13678,6.199999809265137,4.525681495666504,0.0,0.0,0.0,2.9000000953674316,98680.0,8.0,0.0,1417,Moist,7.900000095367432,0.0,0.0,6.199999809265137,4.0,0.0020000000949949026,0.0,0,10.199999809265137,3.9800000190734863,773.1690673828125,0.0,5.289998531341553,03/14/2019 14:00:00
13679,3.0999999046325684,2.0810093879699707,1.7000000476837158,0.0,0.0,4.599999904632568,99090.0,8.0,1.7000000476837158,1417,Wet,3.940000057220459,0.0,0.0,3.0999999046325684,1.7000000476837158,0.3160000145435333,0.0,0,3.799999952316284,1.7100000381469727,0.0,1.0,0.019600030034780502,03/16/2019 22:00:00
13679,2.9000000953674316,1.7318896055221558,1.7999999523162842,0.0,0.0,5.699999809265137,98890.0,8.0,1.7999999523162842,1417,Wet,3.4600000381469727,0.0,0.0,2.9000000953674316,1.399999976158142,0.3400000035762787,0.0,0,3.5,1.399999976158142,0.0,1.0,0.0015999969327822328,03/16/2019 23:00:00
13679,2.4000000953674316,1.3869223594665527,1.7999999523162842,0.0,0.0,6.099999904632568,98680.0,8.0,1.7999999523162842,1417,Wet,2.7699999809265137,0.0,0.0,2.4000000953674316,1.0,0.3499999940395355,0.0,0,2.799999952316284,1.0299999713897705,0.0,1.0,0.0008999982965178788,03/17/2019 00:00:00
13679,2.799999952316284,1.9328070878982544,2.0999999046325684,0.0,0.0,5.599999904632568,98490.0,8.0,2.0999999046325684,1417,Wet,2.809999942779541,0.0,0.0,2.799999952316284,1.2999999523162842,0.35600000619888306,0.0,0,2.799999952316284,1.309999942779541,0.0,1.0,9.999980829888955e-05,03/17/2019 01:00:00
13679,4.0,3.273475170135498,3.5,0.0,0.0,5.300000190734863,98330.0,8.0,3.5,1417,Wet,3.2300000190734863,0.0,0.0,4.0,2.5,0.39899998903274536,0.0,0,3.200000047683716,2.440000057220459,0.0,1.0,0.0008999982965178788,03/17/2019 02:00:00
13661,6.099999904632568,5.3607940673828125,5.300000190734863,0.0,0.0,7.0,98190.0,8.0,5.300000190734863,1417,Wet,4.369999885559082,0.0,0.0,6.099999904632568,5.300000190734863,0.5550000071525574,0.0,0,4.300000190734863,5.309999942779541,0.0,1.0,0.004899957217276096,03/17/2019 03:00:00
216,6.400000095367432,5.658973217010498,3.5999999046325684,0.0,0.0,7.900000095367432,98130.0,8.0,3.5999999046325684,1417,Wet,4.909999847412109,0.0,0.0,6.400000095367432,5.5,0.6890000104904175,0.0,0,4.900000095367432,5.53000020980835,0.0,1.0,9.999504254665226e-05,03/17/2019 04:00:00
13661,6.400000095367432,5.506655693054199,0.699999988079071,0.0,0.0,8.399999618530273,98120.0,8.0,0.699999988079071,1417,Wet,5.090000152587891,0.0,0.0,6.400000095367432,5.5,0.515999972820282,0.0,0,5.099999904632568,5.480000019073486,0.0,1.0,9.999504254665226e-05,03/17/2019 05:00:00
13661,6.0,4.956329822540283,0.30000001192092896,0.0,0.0,8.399999618530273,98130.0,8.0,0.30000001192092896,1417,Wet,4.739999771118164,0.0,0.0,6.0,4.599999904632568,0.2630000114440918,0.0,0,5.099999904632568,4.630000114440918,130.8649444580078,0.0,0.12960009276866913,03/17/2019 06:00:00
