,AirTemp,DewPoint,RainPrecip,SnowPrecip,SnowPrecipAccumulated,WindSpeed,AirPressure,OctalCloudCoverage,PrecipAmount,station_id,road_cond,surf_temp,snow_amount,sub_temp,air_temp,dew_point,water_amount,snow_sum,forecast_length,stn_surf_temp,stn_dew_point,radiation,shade,surf_temp_sqerror,Date Time
3938,9.600000381469727,5.958892822265625,0.0,-0.0,0.0,5.599999904632568,101290.0,7.0,0.0,1417,Dry,14.239999771118164,0.0,7.019999980926514,9.600000381469727,6.0,0.0,0.0,8,10.699999809265137,5.380000114440918,806.9252319335938,0.0,12.531599998474121,03/30/2019 06:00:00
3938,8.800000190734863,4.810193061828613,0.0,-0.0,0.0,4.699999809265137,101200.0,8.0,0.0,1417,Dry,11.4399995803833,0.0,7.010000228881836,8.800000190734863,4.800000190734863,0.0,0.0,8,9.699999809265137,5.570000171661377,725.319580078125,0.0,3.0275990962982178,03/30/2019 07:00:00
3938,8.199999809265137,4.961786270141602,0.0,-0.0,0.0,6.400000095367432,101160.0,8.0,0.0,1417,Dry,10.119999885559082,0.0,6.949999809265137,8.100000381469727,4.900000095367432,0.0,0.0,8,9.399999618530273,5.860000133514404,563.889892578125,0.0,0.5184003710746765,03/30/2019 08:00:00
3938,7.699999809265137,5.510796546936035,0.0,-0.0,0.0,6.199999809265137,101110.0,8.0,0.0,1417,Dry,8.890000343322754,0.0,6.96999979019165,7.599999904632568,5.400000095367432,0.0,0.0,8,8.899999618530273,5.099999904632568,208.36512756347656,1.0,9.998550376622006e-05,03/30/2019 09:00:00
3938,7.300000190734863,5.447999477386475,0.0,-0.0,0.0,6.699999809265137,101110.0,8.0,0.0,1417,Dry,8.1899995803833,0.0,6.989999771118164,7.199999809265137,5.400000095367432,0.0,0.0,8,8.0,5.099999904632568,0.0,1.0,0.036099839955568314,03/30/2019 10:00:00
3938,6.800000190734863,4.626779556274414,0.0,-0.0,0.0,7.699999809265137,101120.0,8.0,0.0,1417,Dry,8.029999732971191,0.0,7.119999885559082,6.699999809265137,4.599999904632568,0.0,0.0,8,7.599999904632568,5.099999904632568,0.0,1.0,0.18489985167980194,03/30/2019 11:00:00
3938,6.400000095367432,3.729501724243164,0.0,-0.0,0.0,7.900000095367432,101140.0,6.0,0.0,1417,Dry,9.010000228881836,0.0,7.710000038146973,6.400000095367432,3.700000047683716,0.0,0.0,8,6.0,4.0,0.0,1.0,9.060101509094238,03/30/2019 12:00:00
3938,6.0,2.6423568725585938,0.0,-0.0,0.0,8.199999809265137,101180.0,3.0,0.0,1417,Dry,6.659999847412109,0.0,7.119999885559082,5.900000095367432,2.700000047683716,0.0,0.0,8,4.800000190734863,2.509999990463257,0.0,1.0,3.4595987796783447,03/30/2019 13:00:00
3938,5.699999809265137,2.3505749702453613,0.0,-0.0,0.0,8.0,101210.0,0.0,0.0,1417,Dry,5.210000038146973,0.0,6.929999828338623,5.599999904632568,2.4000000953674316,0.0,0.0,8,4.0,2.25,0.0,1.0,1.4641001224517822,03/30/2019 14:00:00
3938,5.300000190734863,1.7837121486663818,0.0,-0.0,0.0,8.199999809265137,101250.0,0.0,0.0,1417,Dry,4.639999866485596,0.0,6.96999979019165,5.300000190734863,1.899999976158142,0.0,0.0,8,3.5,2.369999885559082,0.0,1.0,1.2995996475219727,03/30/2019 15:00:00
