,AirTemp,DewPoint,RainPrecip,SnowPrecip,SnowPrecipAccumulated,WindSpeed,AirPressure,OctalCloudCoverage,PrecipAmount,station_id,road_cond,surf_temp,snow_amount,sub_temp,air_temp,dew_point,water_amount,snow_sum,forecast_length,stn_surf_temp,stn_dew_point,radiation,shade,surf_temp_sqerror,Date Time
13648,5.300000190734863,3.796359062194824,0.4000000059604645,0.0,0.0,2.799999952316284,98690.0,8.0,0.4000000059604645,1433,Moist,7.449999809265137,0.0,0.0,5.300000190734863,4.599999904632568,0.00800000037997961,0.0,0,6.800000190734863,4.550000190734863,773.1690673828125,0.0,0.42249950766563416,03/14/2019 14:00:00
13649,2.700000047683716,1.6843903064727783,1.899999976158142,0.0,0.0,4.800000190734863,99110.0,8.0,1.899999976158142,1433,Wet,4.230000019073486,0.0,0.0,2.700000047683716,2.0999999046325684,0.32499998807907104,0.0,0,4.199999809265137,2.0999999046325684,0.0,1.0,0.0009000126156024635,03/16/2019 22:00:00
13649,2.5,1.4860787391662598,2.0999999046325684,0.0,0.0,5.800000190734863,98910.0,8.0,2.0999999046325684,1433,Wet,3.8499999046325684,0.0,0.0,2.5,1.7000000476837158,0.35600000619888306,0.0,0,3.799999952316284,1.659999966621399,0.0,1.0,0.0024999952875077724,03/16/2019 23:00:00
13649,1.899999976158142,1.0392844676971436,2.299999952316284,0.0,0.0,5.800000190734863,98700.0,8.0,2.299999952316284,1433,Wet,3.509999990463257,0.0,0.0,1.899999976158142,1.0,0.3709999918937683,0.0,0,3.200000047683716,1.0199999809265137,0.0,1.0,0.09609996527433395,03/17/2019 00:00:00
13649,2.299999952316284,1.4364086389541626,2.4000000953674316,0.0,0.0,5.5,98530.0,8.0,2.4000000953674316,1433,Wet,3.3399999141693115,0.0,0.0,2.299999952316284,1.7999999523162842,0.3970000147819519,0.0,0,3.4000000953674316,1.7699999809265137,0.0,1.0,0.0036000218242406845,03/17/2019 01:00:00
13649,4.099999904632568,3.5209574699401855,4.5,0.0,0.0,4.5,98380.0,8.0,4.5,1433,Wet,4.070000171661377,0.0,0.0,4.099999904632568,3.5999999046325684,0.4339999854564667,0.0,0,3.799999952316284,3.5999999046325684,0.0,1.0,0.07290011644363403,03/17/2019 02:00:00
13631,6.0,5.26140022277832,5.699999809265137,0.0,0.0,5.900000095367432,98260.0,8.0,5.699999809265137,1433,Wet,5.150000095367432,0.0,0.0,6.0,6.0,0.640999972820282,0.0,0,5.199999809265137,6.010000228881836,0.0,1.0,0.002499971305951476,03/17/2019 03:00:00
186,6.300000190734863,5.4073872566223145,3.9000000953674316,0.0,0.0,6.800000190734863,98200.0,8.0,3.9000000953674316,1433,Wet,5.690000057220459,0.0,0.0,6.300000190734863,6.199999809265137,0.722000002861023,0.0,0,5.699999809265137,6.150000095367432,0.0,1.0,9.999504254665226e-05,03/17/2019 04:00:00
13631,6.5,5.605923652648926,0.5,0.0,0.0,7.199999809265137,98180.0,8.0,0.5,1433,Wet,5.949999809265137,0.0,0.0,6.5,6.099999904632568,0.5370000004768372,0.0,0,5.900000095367432,6.130000114440918,0.0,1.0,0.002499971305951476,03/17/2019 05:00:00
13631,6.300000190734863,5.253759860992432,0.30000001192092896,0.0,0.0,7.699999809265137,98190.0,8.0,0.30000001192092896,1433,Wet,5.650000095367432,0.0,0.0,6.300000190734863,5.400000095367432,0.24300000071525574,0.0,0,5.800000190734863,5.429999828338623,130.8649444580078,1.0,0.02250002883374691,03/17/2019 06:00:00
13631,5.300000190734863,2.9884018898010254,0.0,0.0,0.0,6.400000095367432,98240.0,8.0,0.0,1433,Wet,5.420000076293945,0.0,0.0,5.599999904632568,3.0,0.20999999344348907,0.0,0,5.400000095367432,3.049999952316284,537.142578125,0.75146484375,0.0003999992331955582,03/17/2019 07:00:00
13631,5.300000190734863,2.3112428188323975,0.0,0.0,0.0,6.5,98270.0,7.0,0.0,1433,Wet,5.75,0.0,0.0,5.800000190734863,2.799999952316284,0.09799999743700027,0.0,0,5.699999809265137,2.75,715.9371337890625,0.0,0.002500019036233425,03/17/2019 08:00:00
186,3.5,1.545698642730713,0.10000000149011612,0.0,0.0,4.300000190734863,98600.0,8.0,0.10000000149011612,1433,Moist,3.569999933242798,0.0,0.0,3.5,2.0999999046325684,0.01899999938905239,0.0,0,3.5,2.140000104904175,0.0,1.0,0.0048999907448887825,03/18/2019 04:00:00
13650,2.9000000953674316,1.7318896055221558,0.800000011920929,0.0,0.0,4.400000095367432,98710.0,8.0,0.800000011920929,1433,Wet,3.4100000858306885,0.0,3.8399999141693115,2.9000000953674316,2.200000047683716,0.11400000005960464,0.0,0,3.5,2.2100000381469727,0.0,1.0,0.008099984377622604,03/18/2019 05:00:00
13650,2.799999952316284,1.1719557046890259,0.0,0.0,0.0,4.199999809265137,98870.0,8.0,0.0,1433,Wet,3.4800000190734863,0.0,0.0,2.799999952316284,2.0,0.2590000033378601,0.0,0,3.5,2.009999990463257,154.79104614257812,1.0,0.0003999992331955582,03/18/2019 06:00:00
13650,2.799999952316284,0.3723504841327667,0.0,0.0,0.0,3.9000000953674316,99020.0,8.0,0.0,1433,Wet,3.4000000953674316,0.0,0.0,2.799999952316284,1.5,0.1509999930858612,0.0,0,3.5,1.4900000095367432,548.2976684570312,0.75146484375,0.00999998115003109,03/18/2019 07:00:00
13650,2.9000000953674316,-0.030272405594587326,0.0,0.0,0.0,3.9000000953674316,99170.0,8.0,0.0,1433,Wet,4.110000133514404,0.0,0.0,2.9000000953674316,0.20000000298023224,0.0820000022649765,0.0,0,4.199999809265137,0.25,721.01416015625,0.0,0.008099941536784172,03/18/2019 08:00:00
13650,2.9000000953674316,-0.5475542545318604,0.0,0.0,0.0,4.199999809265137,99340.0,8.0,0.0,1433,Wet,4.039999961853027,0.0,0.0,2.9000000953674316,0.0,0.052000001072883606,0.0,0,4.800000190734863,0.009999999776482582,804.7080688476562,0.0,0.577600359916687,03/18/2019 09:00:00
13631,3.4000000953674316,-0.41799500584602356,0.0,0.0,0.0,4.5,99500.0,8.0,0.0,1433,Moist,5.03000020980835,0.0,0.0,3.4000000953674316,0.20000000298023224,0.01600000075995922,0.0,0,5.400000095367432,0.17000000178813934,846.5648193359375,0.0,0.1368999183177948,03/18/2019 10:00:00
13631,4.0,-0.9630240201950073,0.0,0.0,0.0,4.699999809265137,99650.0,6.0,0.0,1433,Moist,6.53000020980835,0.0,0.0,4.0,-0.4000000059604645,0.007000000216066837,0.0,0,6.900000095367432,-0.3700000047683716,863.2521362304688,0.0,0.1368999183177948,03/18/2019 11:00:00
13631,4.699999809265137,-1.0952990055084229,0.0,0.0,0.0,4.199999809265137,99790.0,3.0,0.0,1433,Moist,6.849999904632568,0.0,0.0,4.699999809265137,-0.800000011920929,0.008999999612569809,0.0,0,7.900000095367432,-0.8100000023841858,860.22509765625,0.0,1.1025004386901855,03/18/2019 12:00:00
13650,5.5,-1.6319268941879272,0.0,0.0,0.0,4.400000095367432,99920.0,2.0,0.0,1433,Dry,8.619999885559082,0.0,0.0,5.5,-1.2999999523162842,0.0,0.0,0,8.399999618530273,-1.2899999618530273,836.5545654296875,0.0,0.048400118947029114,03/18/2019 13:00:00
13649,6.199999809265137,-1.9089704751968384,0.0,0.0,0.0,4.400000095367432,100050.0,2.0,0.0,1433,Dry,9.880000114440918,0.0,0.0,6.199999809265137,-1.600000023841858,0.0,0.0,0,8.699999809265137,-1.559999942779541,784.172119140625,0.0,1.3924007415771484,03/18/2019 14:00:00
13649,6.0,-2.3388421535491943,0.0,0.0,0.0,4.699999809265137,100200.0,8.0,0.0,1433,Dry,8.779999732971191,0.0,0.0,6.5,-2.299999952316284,0.0,0.0,0,8.100000381469727,-2.319999933242798,680.2593994140625,0.0,0.46239912509918213,03/18/2019 15:00:00
