,0
0,3.7445486911710693
1,7.0091844527205724
2,4.6623197182682325
3,4.214708026118489
4,4.76910408438525
5,4.210855211986531
6,17.878335712083853
7,4.625681306363291
8,5.234625837385845
9,28.985624831403378
